1.174897554939530245e-05 9.975762647212148559e-01 2.060430042533407686e+02
1.192080907939445379e-05 9.975586054175651363e-01 2.045508258860209025e+02
1.209515574442463902e-05 9.975408174621834823e-01 2.030694419850915438e+02
1.227205230010441965e-05 9.975228984555590817e-01 2.015986552987451432e+02
1.245153603961820032e-05 9.975048557485461931e-01 2.001390596173150698e+02
1.263364480157824635e-05 9.974866699479951748e-01 1.986890943915059324e+02
1.281841697800194513e-05 9.974683575266029001e-01 1.972500830157950986e+02
1.300589152240547702e-05 9.974499115395727422e-01 1.958214698903466342e+02
1.319610795801598269e-05 9.974313311718838726e-01 1.944031920941342833e+02
1.338910638610382287e-05 9.974126154264953970e-01 1.929951734849601053e+02
1.358492749443672102e-05 9.973937632267583231e-01 1.915973332017165376e+02
1.378361256585741354e-05 9.973747735587085161e-01 1.902095963788742665e+02
1.398520348698702854e-05 9.973556460742046825e-01 1.888319368829252198e+02
1.418974275705548050e-05 9.973363780925482702e-01 1.874641625404474325e+02
1.439727349686114937e-05 9.973169714983819434e-01 1.861064061567740282e+02
1.460783945786157016e-05 9.972974225252315694e-01 1.847584029949648539e+02
1.482148503139710843e-05 9.972777307404387948e-01 1.834201252543862211e+02
1.503825525804939027e-05 9.972578964194248607e-01 1.820915908257447882e+02
1.525819583713689230e-05 9.972379166087018687e-01 1.807726019167239428e+02
1.548135313634912153e-05 9.972177914024455969e-01 1.794631658764046733e+02
1.570777420152183804e-05 9.971975197533616830e-01 1.781632140439032810e+02
1.593750676655521957e-05 9.971771004853723364e-01 1.768726706101879245e+02
1.617059926347712116e-05 9.971565322537480069e-01 1.755914507239140221e+02
1.640710083265333393e-05 9.971358131700289729e-01 1.743194383273148560e+02
1.664706133314751635e-05 9.971149465497536335e-01 1.730568337459699251e+02
1.689053135323231744e-05 9.970939241144528564e-01 1.718031365005590487e+02
1.713756222105437200e-05 9.970727502864719094e-01 1.705586129313378478e+02
1.738820601545527526e-05 9.970514219479392759e-01 1.693230777970020426e+02
1.764251557695081717e-05 9.970299380458315097e-01 1.680964705991791561e+02
1.790054451887064811e-05 9.970082973042079244e-01 1.668787190573202679e+02
1.816234723866120852e-05 9.969864995579309497e-01 1.656698134406615281e+02
1.842797892935360291e-05 9.969645428904625462e-01 1.644696467506801127e+02
1.869749559119938977e-05 9.969424266015962655e-01 1.632781804256592295e+02
1.897095404347650641e-05 9.969201479787325182e-01 1.620952692956052488e+02
1.924841193646790725e-05 9.968977078109976242e-01 1.609209557388021494e+02
1.952992776361517547e-05 9.968751040501845351e-01 1.597551317816978553e+02
1.981556087385031637e-05 9.968523354260530045e-01 1.585977321996178944e+02
2.010537148410748099e-05 9.968294015018476228e-01 1.574487343240252812e+02
2.039942069201788931e-05 9.968062993012730688e-01 1.563079896654380718e+02
2.069777048879038587e-05 9.967830293024027011e-01 1.551755225276210695e+02
2.100048377228042290e-05 9.967595901068950770e-01 1.540512639226799365e+02
2.130762436024994438e-05 9.967359800384582025e-01 1.529351331767174997e+02
2.161925700382167091e-05 9.967121976982139531e-01 1.518270645044758567e+02
2.193544740112969300e-05 9.966882413549035258e-01 1.507269782137591392e+02
2.225626221116994369e-05 9.966641122947902387e-01 1.496349322666574153e+02
2.258176906785319349e-05 9.966398064795367606e-01 1.485507430194920744e+02
2.291203659426362010e-05 9.966153238728332475e-01 1.474744094821289764e+02
2.324713441712568737e-05 9.965906616960303888e-01 1.464058103311399464e+02
2.358713318148306697e-05 9.965658209782233268e-01 1.453449901928397594e+02
2.393210456559177819e-05 9.965407989843559911e-01 1.442918314552662196e+02
2.428212129603140137e-05 9.965155947721660024e-01 1.432462946324667428e+02
